"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000035674",1467.29715538225,0.364948865993635,0.134348898443605,2.71642618749739,0.00659909082601048,0.0435660081958066
"ENSMUSG00000111318",5.562226547229,0.348212842429234,0.528165809803256,0.659286981410147,0.509711500697551,0.752492407337331
"ENSMUSG00000028643",186.265108649484,0.149605446410706,0.0904547700902448,1.65392545093474,0.0981426607254771,0.292476111023461
"ENSMUSG00000037730",310.855677396719,0.0967008058283968,0.0738822064471364,1.30885108172273,0.190584799753456,0.438198369374288
"ENSMUSG00000089968",18.2976704017501,-0.0572144199894417,0.276175678550996,-0.207166758092629,0.835879627329234,0.936780383396548
"ENSMUSG00000091443",6.65100182759092,0.0546746861875618,0.483236679885004,0.113142665826966,0.909917449703933,0.967489345547173
"ENSMUSG00000038949",738.956012968499,-0.0474169813992327,0.0614725856685096,-0.771351666496157,0.440498515645081,0.699013930650101
"ENSMUSG00000035064",751.553715200906,0.107377888251212,0.0719687825687812,1.49200645639087,0.135697452777638,0.359899406087531
"ENSMUSG00000081544",13.7748619018572,0.475224016707329,0.330384082216408,1.4383986465669,0.150320976438971,0.381297307170658
"ENSMUSG00000041654",1701.7429581249,-0.0294616534412179,0.0369360854540914,-0.797638761092763,0.425080150767103,0.685703512675449
"ENSMUSG00000091639",66.2863897737436,0.363101825019096,0.220784684919677,1.64459697533456,0.100052951033113,0.296135744928427
"ENSMUSG00000026380",34.0771392629981,0.462367332028404,0.210034275718019,2.20138989432922,0.0277084338003541,0.124067727080382
"ENSMUSG00000034354",2488.15729200262,-0.00936524259383404,0.0346726753006722,-0.27010441255603,0.787079927512973,0.91310067417639
"ENSMUSG00000025602",91.0767533265104,-0.0866127014121344,0.161899465140775,-0.534978304819122,0.592664859413432,0.807875678355882
"ENSMUSG00000036989",1198.83520761848,0.000437163441564282,0.072374226453048,0.00604031936490385,0.995180551743072,0.998561635721314
"ENSMUSG00000038174",649.547474711347,0.0558966616125889,0.0661090105303488,0.845522587074999,0.397819127065625,0.66304638362491
"ENSMUSG00000097574",35.0602485731793,-0.290795204329533,0.213132902980816,-1.36438438299556,0.17244662042431,0.412937379948577
"ENSMUSG00000074355",27.5716195654349,-0.368708726750357,0.230157607113763,-1.60198366403814,0.109159221951044,0.31417813843371
"ENSMUSG00000020687",1142.27679635624,0.016106187953934,0.0565933509257685,0.284595057378029,0.775954398373226,0.907593242343812
"ENSMUSG00000036890",335.083516037608,0.0596192208307073,0.0863699306392649,0.690277511970163,0.490019686961097,0.737280789072694
"ENSMUSG00000026238",9172.28398626957,0.0210354687618967,0.0583064205337076,0.360774483656323,0.718268039049954,0.880470644489473
"ENSMUSG00000017412",28.420139635065,-0.561777136163381,0.225673993461226,-2.4893304166211,0.0127983959455499,0.071093386446352
"ENSMUSG00000015305",1977.19163366162,-0.127319784012014,0.143355106253196,-0.888142650371593,0.374464023059098,0.640515078508249
"ENSMUSG00000086837",10.6628461448992,-0.421056213656631,0.384429837348926,-1.09527454101972,0.273396377630771,0.541990711157956
"ENSMUSG00000020900",37.6203315677617,0.481130218837912,0.186500190792692,2.57978405701859,0.00988621141261671,0.0588882733753091
"ENSMUSG00000028551",783.547783731611,-0.0418614077768443,0.0675503012262112,-0.619707196221962,0.535450577048847,0.770557276397175
"ENSMUSG00000042419",143.59977624618,0.029248115507567,0.12054049435074,0.242641409968529,0.80828319912559,0.923007899790358
"ENSMUSG00000040048",3118.49813438541,0.0513070707288234,0.0452045798151283,1.13499718255655,0.256376498865074,0.522666405299323
